Amplicon	GC
391_SZ108	0.40
392_SZ108	0.46
393_SZ108	0.32
393UN_SZ108	0.31
394_SZ108	0.36
394UN_SZ108	0.36
395_SZ108	0.37
396_SZ108	0.41
397_SZ108	0.37
398_SZ108	0.53
399_SZ108	0.55
4_CACNA1C	0.38
40_Epilepsy	0.39
400_SZ108	0.51
401_SZ108	0.48
402_SZ108	0.44
403_SZ108	0.53
404_SZ108	0.46
405_SZ108	0.47
406_SZ108	0.40
407_SZ108	0.36
408_SZ108	0.51
41_Epilepsy	0.42
42_Epilepsy	0.37
43_Epilepsy	0.34
44_Epilepsy	0.39
45_Epilepsy	0.47
46_Epilepsy	0.42
47_SCN1A	0.41
48_SCN1A	0.36
49_SCN1A	0.49
5_CACNA1C	0.48
50_SCN1A	0.33
51_SCN1A	0.41
52_SCN1A	0.34
53_SCN1A	0.43
54_SCN1A	0.46
55_SCN1A	0.32
56_SCN1A	0.34
57_SCN1A	0.35
58_SCN1A	0.35
59_SCN1A	0.34
6_CACNA1C	0.44
60_SCN1A	0.36
61_SCN1A	0.32
62_SCN1A	0.39
63_SCN1A	0.40
64_SCN1A	0.36
65_SCN1A	0.42
65UN_SCN1A	0.42
66_SCN1A	0.33
66UN_SCN1A	0.32
67_SCN1A	0.33
67UN_SCN1A	0.32
68_SCN1A	0.33
68UN_SCN1A	0.32
69_SCN1A	0.32
7_CACNA1C	0.48
70_SCN1A	0.35
71_SCN1A	0.32
71UN_SCN1A	0.27
72_SCN1A	0.37
72UN_SCN1A	0.50
73_SCN1A	0.34
73UN_SCN1A	0.31
74_SCN1A	0.41
74UN_SCN1A	0.41
75_SCN1A	0.40
76_SCN1A	0.34
76UN_SCN1A	0.32
77_SCN1A	0.37
77UN_SCN1A	0.36
78_SCN1A	0.32
79_SCN1A	0.37
8_CACNA1C	0.53
80_SCN1A	0.39
81_SCN1A	0.38
81UN_SCN1A	0.38
82_SCN1A	0.37
82UN_SCN1A	0.36
83_SCN1A	0.31
84_SCN1A	0.32
84UN_SCN1A	0.32
85_SCN1A	0.31
85UN_SCN1A	0.31
86_SCN1A	0.35
86UN_SCN1A	0.33
87_SCN1A	0.35
88_SCN1A	0.32
89_SCN1A	0.33
9_CACNA1C	0.46
90_SCN1A	0.35
91_SCN1A	0.44
92_SCN1A	0.31
93_SCN1A	0.36
94_SCN1A	0.34
95_SCN1A	0.42
96_SCN1A	0.47
97_SCN1A	0.38
98_SCN1A	0.36
99_SCN1A	0.38
